CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
3304409,18451,401550,59963,67988,14701,95418,163480
3304508,9222,205314,15883,11225,39766,50780,87661
3304524,145989,8582561,349479,8562,4166175,2868104,1190241
3304557,6688927,364052058,92388755,86011,36657075,184727809,50192408
3304607,10417,181421,16771,15502,7548,47273,94327
3304706,42359,1086943,98468,36514,190789,457859,303312
3304755,42201,1023340,154155,215080,85670,242305,326130
3304805,38626,695181,54000,36485,58932,267344,278420
3304904,1077687,18501296,1392452,60566,2076698,8372606,6598974
3305000,36138,7203742,287624,38018,4223460,2252843,401797
3305109,471888,9308683,797646,1199,445235,5108141,2956462
3305133,7134,204855,32630,52665,10342,47038,62180
3305158,21670,532113,93205,115164,29915,125830,167999
3305208,102846,2289291,243296,30402,184069,1122817,708707
3305307,9326,203323,27043,33647,8651,45415,88568
3305406,18205,736527,130961,44572,73496,337553,149945
3305505,87704,3091089,173012,17581,1029895,1235193,635408
3305554,86743,4462277,572154,13330,692496,2585154,599143
3305604,21773,465703,40857,32532,65929,126973,199412
3305703,15577,447968,92012,131695,17699,81659,124902
3305752,33870,550372,34633,6830,40747,215858,252304
3305802,180886,5155905,530376,287621,490586,2572981,1274342
3305901,10611,195798,18947,19880,8690,53816,94465
3306008,81453,3956601,523527,9472,1190730,1617470,615401
3306107,76163,2564836,261398,37231,839163,903204,523840
3306156,10890,187033,4283,23749,12169,55488,91344
3306206,36702,977186,76515,20858,121517,478107,280188
3306305,271998,13764889,2028684,4919,4339385,5380445,2011457
3500105,35023,1084405,83655,35510,131611,655890,177739
3500204,3571,92374,3147,22647,11020,33366,22194
3500303,35954,1008187,122658,81936,314195,361395,128003
3500402,8137,168305,14356,9984,19333,91831,32801
3500501,18599,491522,34179,4870,37780,325597,89096
3500550,6040,166830,8237,50437,9780,64286,34091
3500600,3380,135947,7063,0,10763,96792,21329
3500709,37023,2203350,323937,76596,927746,698060,177012
3500758,5918,100497,4635,30973,7398,31982,25509
3500808,4147,83373,15206,5031,13695,29083,20358
3500907,4134,106833,3726,49937,5356,26116,21698
3501004,16164,497723,28085,148080,18674,235716,67168
3501103,4110,107712,6407,32914,10186,35518,22688
3501152,18484,2105105,553732,901,1019462,442604,88406
3501202,3712,119696,2752,62758,4836,28580,20770
3501301,24830,530718,59445,16093,100751,256013,98416
3501400,5179,49886,1757,6328,2614,18317,20871
3501509,3206,51906,874,14523,3757,16305,16447
3501608,237112,11332408,1604884,8833,2835213,5897598,985881
3501707,39962,959435,88981,16766,303903,399646,150140
3501806,5956,117732,3245,41925,4507,40805,27250
3501905,71700,4646510,723479,76338,1931615,1614061,301017
3502002,4933,183994,5787,32738,59867,54169,31432
3502101,57112,1922486,148529,99993,406638,1029211,238115
3502200,24969,1008412,76318,139757,304750,382204,105384
3502309,6627,179886,7065,73715,25047,41777,32282
3502408,4085,74825,2436,25171,5774,21400,20043
3502507,36129,1082773,52154,1512,43174,839747,146186
3502606,4234,128569,7624,26077,34433,39826,20610
3502705,24526,594687,42197,108332,138625,211151,94383
3502754,21854,3270859,579486,1178,901461,1671907,116826
3502804,195874,7349421,625753,109039,1148211,4784946,681473
3502903,33499,861982,82926,21195,229311,395295,133253
3503000,5585,126608,8575,27689,5008,62271,23065
3503109,6348,117579,3984,39403,6090,38613,29489
3503158,2478,30704,1015,1751,1626,11955,14357
3503208,233744,9409114,1029754,92963,1691653,5591594,1003151
3503307,132934,5565138,631278,102408,1365753,2912399,553300
3503356,1811,53015,1420,21884,5855,10907,12949
3503406,8505,230788,13795,68028,14517,99796,34653
3503505,3876,43128,1598,4859,1275,15233,20163
3503604,11099,143002,5508,25747,11397,57954,42396
3503703,9573,728583,158198,21245,193090,314515,41534
3503802,53450,1184269,128229,113925,197633,549745,194738
3503901,88455,6155414,1013113,24321,943418,3808517,366045
3503950,1825,35205,970,10855,1793,9868,11719
3504008,103666,3363336,332744,46341,544811,2043500,395939
3504107,141398,7140404,1148385,162829,1827296,3409763,592132
3504206,15123,304811,16761,23372,38187,164652,61839
3504305,5369,271908,8372,164244,10068,62381,26843
3504404,13433,319465,24078,34995,101048,106525,52820
3504503,90063,2737161,232038,119567,482741,1533104,369711
